tr isim,os_isim 
Gülal, كلال
Behtiye, بهتيه
Tevhide, توحیدا
Güleser, كل أسر
Nesip, نسيب
Şahhanım, شاه خانم
Aytekin, آيتكين
Nezaket, نزاكت
Nurşah, نورشاه
Mebrure, مبروره
Râhime, راحمه
Asena, آسه نه
Pervin, پروین
Asime, اصمه
Sema, سَما
Dila, ديلا
Hakime, حاكمه
Lamia, لامِعه
Şennaz, شن ناز
Şener, شن أر
Gülçin, كلچېن
Altay, التاى
Nurcihan, نورجهان
Antar, عنتر
Meriç, مرچ
Sevkan, سوقان
Özdil, اوزدل
Gülzade, كل زاده
Sadullah, صعاد الله
Nurhan, نورخان
Şinasi, شناسى
Kadem, قدم
Tuna, طونه
Neziha, نزيهه
Tamam, تمام
Semira, سميره
Beyaz, بياض
Mihdiye, مهديه
Yurda, يوردا
Aybars, أيبارس
Zümra, زمرا
Sahra, صحراء
Akhenaton, اخناتون
Ümmiye, أمّية
Safura, صافورا
Ersel, ارسل
Muteber, معتبر
Gülsevim, كل سويم
Emriye, امريه
Didar, دیدار
Berrak, برّاق
Medine, مدينه
Güldeste, كل دسته
Necati, نجاتى
Çimen, چمن
Baki, باقي
Bakiye, باقيه
Feriye, فرييه
Rabiatül Adeviye, رابعة العدوية
Gülçimen, كلچمن
Nazike, نازكه
Fındık, فندق
Duran, دوران
Abidin, عابدين
Zümrüt, زمرد
Zühriye, زهريه
Ziyaüddin, ضياءالدّين
Zilan, زيلان
Zeynullah, زين الله
Zeynelabidin, زین‌العابدین
Zeynel, زينل
Zeyd, زيد
Zerrin, زرین
Zekeriya, زكريا
Zarife, ظریفه
İnşirah, انشراح
Gülhatun, كل خاتون
Yuşa, یُوشع
Yurdaer, يورده ار
Yücel, يوجل
Yonca, يونجا
Yılmaz, ييلماز
Yiğit, ييكيت
Yeter, يتر
Yekta, یکتا
Yaser, ياسر
Yaren, يارن
Yaprak, ياپراق
Yağmur, ياغمور
Yağız, ياغيز
Vuslat, وصلت
Veysi, ويسى
Veysel, ويسل
Vesile, وسيله
Vera, ورع
Vedat, وِداد
Vatan, وطن
Vasfi, وصفي
Ünzile, انزيله
Ümmü, امّ
Üzeyir, عزير
Ümmühan, امّ خان
Ümmügülsüm, امّ كلثم
Ülkü, اولكو
Ülgen, اولكن
Uzel, اوزل
Umutcan, اومودجان
Umay, اوماى
Ulaş, اولاش
Ukba, عقبى
Türk, تورك
Turgay, طورغاى
Turan, توران
Tuncer, تونجر
Tunay, توناى
Tülin, تولين
Tuğrul, طوغرول
Tuğra, طغرا
Tuana, توانا
Treyscilia, تيريسجيليا
Toprak, طوپراق
Tolga, طولقا
Timurhan, تيمورخان
Timur, تيمور
Timuçin, تيموچين
Teoman, تءومان
Tenay, تنآى
Temel, تمل
Tekin, تکین
